Timestamp,Side,RMSE_Joint,Max_Joint_Diff,Pos_Err,Rot_Err,Solve_Time
1772536790083309078,left,0.0,0.0,0.0,0.0,0.00041365623474121094
1772536790083561946,left,0.0,0.0,0.0,0.0,1.8596649169921875e-05
1772536790085834224,right,0.0,0.0,0.0,0.0,1.0967254638671875e-05
1772536790087656221,right,0.0,0.0,0.0,0.0,1.049041748046875e-05
1772536790088097568,left,0.011055953949413328,0.018860853462178584,0.0,0.00013129142450942838,0.0003666877746582031
1772536790125615102,left,0.5514439286622408,0.9707366917886254,0.0,0.01402827968578491,0.0003261566162109375
1772536790126049766,left,0.06393645594208755,0.1051846605577671,0.0,0.003010458780245435,0.00028014183044433594
1772536790127694364,right,0.4614008313947295,0.8228227653985226,0.0,0.01280565136225185,0.0002834796905517578
1772536790127929028,right,0.0494343834649163,0.07953470651623507,0.0,0.0022954736777019554,0.0002880096435546875
1772536790129654309,left,0.053903227746646375,0.09060384012510553,0.0,0.0015547200291841973,0.0002589225769042969
1772536790131496878,right,0.05675231146156707,0.09548679021509007,0.0,0.0010399474792294682,0.0002586841583251953
1772536790142877775,left,0.5255852275760341,0.9065411908167579,0.0,0.012567946678151516,0.00028777122497558594
1772536790143126701,left,0.10075665778204605,0.16543008152807992,0.0,0.003727456883901209,0.00028204917907714844
1772536790144796471,right,0.4400205190241908,0.7727073782877851,0.0,0.011530275936422484,0.00028014183044433594
1772536790145019445,right,0.07861894164356284,0.12739796028953765,0.0,0.002818090973082258,0.0002789497375488281
1772536790146701068,left,0.08242055843585462,0.134201919604835,0.0,0.0023727950128190948,0.0002608299255371094
1772536790148701920,right,0.07177193309346296,0.1305456190908154,0.0,0.0016368365867952834,0.00025534629821777344
1772536790162944622,left,0.5115387184855014,0.8694270911153155,0.0,0.011699080362948044,0.00029158592224121094
1772536790163320767,left,0.12196751800447166,0.2000361338514305,0.0,0.004195376951251698,0.00027680397033691406
1772536790164759991,right,0.4278389576434126,0.7426148050728933,0.0,0.010781612099701236,0.0002799034118652344
1772536790164950425,right,0.09609899191840746,0.15598872129384755,0.0,0.003143278732378912,0.0002765655517578125
1772536790166520357,left,0.09897870182103756,0.15940627721107006,0.0,0.0028421237652676867,0.00025391578674316406
1772536790168285113,right,0.08237454400212284,0.15102238255582565,0.0,0.0019783319856657004,0.0002529621124267578
1772536790183034038,left,0.503789076932352,0.8480447845940904,0.0,0.011189827147512106,0.00027871131896972656
1772536790183365890,left,0.13418989045622806,0.21997870068023617,0.0,0.004475860277071037,0.0002777576446533203
1772536790184911551,right,0.4206926078682089,0.7242708158956116,0.0,0.010321381879812644,0.0002846717834472656
1772536790185178533,right,0.10675973858830666,0.17343148261526276,0.0,0.003418896804512051,0.0002760887145996094
1772536790187007723,left,0.10854640220873635,0.17392084637218708,0.0,0.0031115869855234102,0.0002548694610595703
1772536790188996140,right,0.08953830338400103,0.1640717005986885,0.0,0.002199308428590262,0.0002570152282714844
1772536790203082445,left,0.4994763512649538,0.8357619607684693,0.0,0.010893440879087527,0.00027632713317871094
1772536790203414890,left,0.14123661436580887,0.23150839870311468,0.0,0.004639988311352062,0.0002684593200683594
1772536790204955191,right,0.4165786635504031,0.7134244092443979,0.0,0.01004489659049554,0.0002758502960205078
1772536790205203561,right,0.11307360407909571,0.18377645837517087,0.0,0.0035604939274453385,0.00027370452880859375
1772536790206880977,left,0.11406794503533096,0.18224829578811463,0.0,0.00326636878416392,0.00025391578674316406
1772536790208841688,right,0.09377191351118097,0.1715686404217432,0.0,0.002324636971620614,0.00025534629821777344
1772536790223094249,left,0.4970743773355405,0.8287317090029709,0.0,0.010721520214830764,0.00027823448181152344
1772536790223348913,left,0.14530148561788853,0.2381988545491811,0.0,0.004735087914465162,0.0002765655517578125
1772536790224905557,right,0.4141613256409253,0.7069121601008124,0.0,0.009878081258639758,0.00027561187744140625
1772536790225246267,right,0.11688470039301392,0.19004714936061506,0.0,0.0036111004851768435,0.00027632713317871094
1772536790226704770,left,0.11725252306108923,0.1870030105189368,0.0,0.0033552452600913423,0.00030350685119628906
1772536790228502339,right,0.0961180467777026,0.17570324945424587,0.0,0.002391535418395013,0.0002601146697998047
1772536790242859330,left,0.4957474113742128,0.8247295147156076,0.0,0.010621936762314852,0.0003349781036376953
1772536790243136393,left,0.14764751391605638,0.2421000772376718,0.0,0.004789873828164168,0.00027823448181152344
1772536790244690439,right,0.4126793801183379,0.7028273391897115,0.0,0.009773132197389149,0.0002779960632324219
1772536790244885788,right,0.11930055242599295,0.1940553892152439,0.0,0.0036667444349782496,0.0002727508544921875
1772536790246443549,left,0.11908828644736849,0.18969813644459732,0.0,0.003406206154392159,0.0002505779266357422
1772536790248230559,right,0.09797490204506984,0.17887202819608117,0.0,0.0024474009309386913,0.00025177001953125
1772536790262958451,left,0.49502905918520984,0.822470811000427,0.0,0.010564264450176962,0.0002987384796142578
1772536790263217127,left,0.14900234271696783,0.2443908401640854,0.0,0.00482127544931466,0.0002837181091308594
1772536790264906486,right,0.41188529870744045,0.7005854519429733,0.0,0.009712890232803827,0.0002830028533935547
1772536790265077338,right,0.12064407272996538,0.19630803124670382,0.0,0.0036969729739877054,0.00028014183044433594
1772536790266691264,left,0.12014581092452185,0.19120796103627938,0.0,0.003435342674282578,0.00027632713317871094
1772536790268537535,right,0.09887136858310715,0.18040619866733026,0.0,0.0024735870250216004,0.0002884864807128906
1772536790283122611,left,0.49465582075511466,0.8212143634019445,0.0,0.010530836945821808,0.0002987384796142578
1772536790283369322,left,0.14978540261540446,0.24575003039654242,0.0,0.0048391614402416095,0.00029206275939941406
1772536790285113508,right,0.4114330273151133,0.6992631619665087,0.0,0.009677120671810334,0.0002944469451904297
1772536790285255725,right,0.12145470732135692,0.19769073541041582,0.0,0.0037498491319076406,0.00027489662170410156
1772536790287123314,left,0.12075440601727577,0.1920371250314689,0.0,0.0034519170931217474,0.00025653839111328125
1772536790289004744,right,0.09916272404919906,0.18094278632824018,0.0,0.002480797394676434,0.0002529621124267578
1772536790303145876,left,0.4944777300467101,0.8205326822648177,0.0,0.010511425001515622,0.0002772808074951172
1772536790303479544,left,0.15023855120735627,0.24656907752924329,0.0,0.004849254721473928,0.00026679039001464844
1772536790305405159,right,0.4111209360530712,0.6983084563898012,0.0,0.009651565917782339,0.000274658203125
1772536790305579102,right,0.12205869970483743,0.19874373646246868,0.0,0.0037636204196474497,0.00029730796813964844
1772536790307255102,left,0.12072425686041043,0.19211780224128305,0.0,0.003451661566968634,0.0002613067626953125
1772536790309097646,right,0.09978403577669029,0.18194486537781174,0.0,0.0025006564378007886,0.0002548694610595703
1772536790323025307,left,0.49435565202998694,0.8200111682348994,0.0,0.010495855312164494,0.00026917457580566406
1772536790323317186,left,0.15060167773092942,0.2472429800205156,0.0,0.004857208055716307,0.0002682209014892578
1772536790324893756,right,0.41102189073764944,0.6979489076233534,0.0,0.009639199886173127,0.000278472900390625
1772536790325003747,right,0.12231006933789647,0.19921111924630974,0.0,0.003734522307160457,0.0002715587615966797
1772536790326928094,left,0.12138317429347936,0.19280726235175916,0.0,0.00346880628326683,0.0002503395080566406
1772536790328881537,right,0.0999286086170048,0.18217829090039228,0.0,0.0025052104112652765,0.00024819374084472656
1772536790343072477,left,0.49437282242241243,0.819918512213679,0.0,0.010491010059871752,0.000278472900390625
1772536790343508264,left,0.1507121684520667,0.2474951763177633,0.0,0.0048591510197252335,0.0002675056457519531
1772536790344909454,right,0.410982141040725,0.6977560279266569,0.0,0.009632543187577966,0.0002713203430175781
1772536790345170630,right,0.12246215193267694,0.19951277227091668,0.0,0.0037373161957261233,0.00027680397033691406
1772536790346778375,left,0.12146416321442194,0.1928489623005277,0.0,0.0034705081039375445,0.0002510547637939453
1772536790348788737,right,0.10000576649330727,0.1822964716821659,0.0,0.0025078186885622335,0.0002532005310058594
1772536790362995966,left,0.49441154200081733,0.8198990465283168,0.0,0.010488134042009722,0.0002720355987548828
1772536790363349758,left,0.15077698659701727,0.24766790163712915,0.0,0.004860226817262557,0.00026869773864746094
1772536790365159869,right,0.41097709688020306,0.6976627007222664,0.0,0.00962840960225572,0.0002675056457519531
1772536790365395826,right,0.12255349034239647,0.19971150827283468,0.0,0.003773373686901133,0.0002720355987548828
1772536790367210352,left,0.12150983505320921,0.19284265048273377,0.0,0.003471428103848791,0.00025153160095214844
1772536790369373139,right,0.09980155237465191,0.18198508682173872,0.0,0.0025008512656987804,0.00024890899658203125
1772536790383512382,left,0.4944604651697372,0.8199191363800801,0.0,0.010486392154931284,0.0002734661102294922
1772536790383979499,left,0.1508154259628127,0.2477927701545961,0.0,0.004860629920374406,0.0002644062042236328
1772536790385363594,right,0.4109286077753821,0.6974430056585833,0.0,0.009622108768817205,0.0002815723419189453
1772536790385589862,right,0.12272366259596529,0.20004508188776193,0.0,0.003742643649593774,0.0002753734588623047
1772536790387277684,left,0.12153534001574894,0.19281111945885532,0.0,0.003471988821002931,0.0002593994140625
1772536790389176897,right,0.10013139433926403,0.1824833388853357,0.0,0.002512200230733128,0.0002548694610595703
1772536790403197981,left,0.49451322018403443,0.8199595785160675,0.0,0.010485309834344606,0.00026798248291015625
1772536790403760427,left,0.15083862620062177,0.24788818515884992,0.0,0.004860622885475649,0.00026679039001464844
1772536790405162829,right,0.4109820527505216,0.6975188131205243,0.0,0.009621150876906029,0.00031113624572753906
1772536790405328687,right,0.12271281337624408,0.20007131237074094,0.0,0.003742312259714316,0.0002968311309814453
1772536790406993791,left,0.12113969520879272,0.19187268347825773,0.0,0.003463181575301477,0.00025653839111328125
1772536790408884164,right,0.0998589547272181,0.18205758980408832,0.0,0.002503262550929568,0.0002567768096923828
1772536790423319404,left,0.49449473367479096,0.8198211326265963,0.0,0.010480478261554661,0.0002703666687011719
1772536790423601046,left,0.15095146069900253,0.24811406875469788,0.0,0.004863052110275441,0.0002722740173339844
1772536790425167862,right,0.4109659901715643,0.6973973752837553,0.0,0.009617573217543423,0.00027751922607421875
1772536790425347196,right,0.12282068064548118,0.20029631809821336,0.0,0.00374450238406669,0.00027298927307128906
1772536790426988709,left,0.12163433482027458,0.1928483951370713,0.0,0.003474037212342161,0.0002529621124267578
1772536790428871305,right,0.09990750551291208,0.18212788290232107,0.0,0.0025050252377398978,0.00025773048400878906
1772536790443009284,left,0.4945727951940044,0.8199499648699679,0.0,0.010481749132629337,0.00026917457580566406
1772536790443323839,left,0.15091868311918485,0.24811123237818145,0.0,0.0048618442568558766,0.000274658203125
1772536790444945930,right,0.41097360922615134,0.6973449100055924,0.0,0.009614625478084593,0.0002751350402832031
1772536790445180361,right,0.12288532267398915,0.20044715625443676,0.0,0.003779921797367725,0.0002722740173339844
1772536790446815354,left,0.12157792190329751,0.19222050807274382,0.0,0.0034738436305150476,0.0002562999725341797
1772536790448826814,right,0.10016936757433828,0.182510068524444,0.0,0.002514335464551954,0.00026035308837890625
1772536790463122981,left,0.49461928639246744,0.8200272791355535,0.0,0.010482573384477854,0.000278472900390625
1772536790463473932,left,0.15089622528499413,0.24810642861736054,0.0,0.00480480196187016,0.00026917457580566406
1772536790465027287,right,0.4110580830084417,0.6975198810127633,0.0,0.009616631744479152,0.00026869773864746094
1772536790465224650,right,0.12281024448039414,0.20035948340330423,0.0,0.003777860585272933,0.0002777576446533203
1772536790466871789,left,0.12158606286093854,0.19268421735301647,0.0,0.003472592183431913,0.0002582073211669922
1772536790468856814,right,0.10009824178314529,0.18237859620804495,0.0,0.0025125822238336944,0.0002586841583251953
1772536790483112945,left,0.4946760951987596,0.8201063890172998,0.0,0.010482890738209003,0.000278472900390625
1772536790483460678,left,0.15088906173677835,0.24813684368879207,0.0,0.00486044735315008,0.0002651214599609375
1772536790484916899,right,0.41112083149657946,0.6976401623962704,0.0,0.00961857040458078,0.0002665519714355469
1772536790485011211,right,0.12276509412187504,0.20031794182193408,0.0,0.003776575362684989,0.0002760887145996094
1772536790486789642,left,0.12119304618243873,0.19176329617641394,0.0,0.003458710486836889,0.0002453327178955078
1772536790488647240,right,0.09980729069574251,0.18192555847981307,0.0,0.002503051212076687,0.0002498626708984375
1772536790503050349,left,0.4946741007403917,0.8200568700110852,0.0,0.01048088453362373,0.00026607513427734375
1772536790503344254,left,0.1509257443253884,0.24779362233767976,0.0,0.004857458467698879,0.00026297569274902344
1772536790504858239,right,0.41110630021163613,0.6975404012642031,0.0,0.009616053812289518,0.00026798248291015625
1772536790505100443,right,0.12285206359221781,0.20049766764874777,0.0,0.003778015337832335,0.0002684593200683594
1772536790506707734,left,0.12164192483460763,0.19268485746845482,0.0,0.003473410983467993,0.0002453327178955078
1772536790508457112,right,0.10008971380403904,0.1823444038584206,0.0,0.002512868283624917,0.0002472400665283203
1772536790522927354,left,0.49472807355914933,0.8201220715905997,0.0,0.010480801657059224,0.00026702880859375
1772536790523222629,left,0.1509355678916651,0.24828115131651152,0.0,0.004861065573812833,0.00026702880859375
1772536790524833568,right,0.4111742801226845,0.6976821306675114,0.0,0.009617475241151344,0.00026798248291015625
1772536790525035881,right,0.12279136109016016,0.20042656908238432,0.0,0.0037420453254465988,0.0002727508544921875
1772536790526794050,left,0.12160679091624171,0.1925875472213474,0.0,0.0034722231892082935,0.0002911090850830078
1772536790528766617,right,0.10003280676697653,0.182239331922453,0.0,0.002511460912508103,0.00025391578674316406
1772536790543116424,left,0.49478308033029533,0.820212781938598,0.0,0.01048172146261429,0.00027441978454589844
1772536790543603800,left,0.15091262449080028,0.24827932290690835,0.0,0.004860225970059387,0.00026726722717285156
1772536790545061505,right,0.4112241641347948,0.6977781837822304,0.0,0.009619036625038314,0.00026917457580566406
1772536790545217206,right,0.12275504315885952,0.2003925365851713,0.0,0.0037410054480204653,0.000270843505859375
1772536790546892939,left,0.12156025176343511,0.19238741282563454,0.0,0.0034723571255950094,0.0002543926239013672
1772536790584175714,left,0.4948104819328719,0.8202612672103579,0.0,0.010482338265293586,0.0002713203430175781
1772536790584431658,left,0.15089799485766586,0.2482715512286009,0.0,0.004859752349861743,0.0002655982971191406
1772536790585991260,right,0.39720501350479703,0.6612352186383493,0.0,0.008793041430555908,0.0002899169921875
1772536790586263468,right,0.14261619077917775,0.23103006909484813,0.0,0.0042548745530182385,0.0002753734588623047
1772536790587738552,left,0.12157322356339086,0.19247787209820885,0.0,0.0034710046658313056,0.0002617835998535156
1772536790589601181,right,0.11492043021779973,0.2079620787213927,0.0,0.002915758672469323,0.00025463104248046875
1772536790602902129,left,0.4948507245934874,0.8203167863562139,0.0,0.010482534024193729,0.0002665519714355469
1772536790603116442,left,0.15089178177540094,0.24829280576300072,0.0,0.004859336509105382,0.00027823448181152344
1772536790604779868,right,0.40220199875409646,0.6751604616376743,0.0,0.009092456281691445,0.0002791881561279297
1772536790604968336,right,0.13472212550886897,0.2183999681138491,0.0,0.004032920028908736,0.00030159950256347656
1772536790606550569,left,0.12154059877758111,0.19240730972167086,0.0,0.003471724808923902,0.0002758502960205078
1772536790608262685,right,0.10918486448468714,0.1982476154271675,0.0,0.002758429067103308,0.0002701282501220703
1772536790622918676,left,0.4948680414046728,0.8203430621667162,0.0,0.010482748811739792,0.0002830028533935547
