timestamp,side,mean_joint_error_rad,ee_pos_error_m,j1_orig,j2_orig,j3_orig,j4_orig,j5_orig,jg_orig,j1_sol,j2_sol,j3_sol,j4_sol,j5_sol,jg_sol
1772536790283369322,left,0.305909,0.031063,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0384,-1.4386,0.8184,0.0578,-0.0098,-0.0531
1772536790285255725,right,0.082089,0.001208,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0410,-1.2044,1.4234,-0.0294,-0.0815,-0.1841
1772536790287123314,left,0.310892,0.031844,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0392,-1.4227,0.8016,0.0403,-0.0113,-0.0543
1772536790289004744,right,0.097691,0.003864,-0.0391,-1.1784,1.5604,-0.0506,-0.0760,0.2739,-0.0395,-1.1979,1.4997,-0.0084,-0.0737,-0.1871
1772536790303479544,left,0.306533,0.031104,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0384,-1.4415,0.8179,0.0552,-0.0097,-0.0559
1772536790305579102,right,0.082468,0.001837,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2670,-0.0364,-1.1874,1.4537,-0.0468,-0.0795,-0.1923
1772536790307255102,left,0.311717,0.031883,-0.0391,-1.1193,1.4891,-0.3452,-0.0115,0.4358,-0.0393,-1.4252,0.8006,0.0373,-0.0113,-0.0572
1772536790309097646,right,0.085350,0.001907,-0.0391,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0389,-1.1968,1.5344,-0.0440,-0.0762,-0.1898
1772536790323317186,left,0.307190,0.031152,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0384,-1.4446,0.8174,0.0527,-0.0097,-0.0589
1772536790325003747,right,0.092386,0.002137,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0365,-1.1884,1.4779,-0.0779,-0.0763,-0.2016
1772536790326928094,left,0.312313,0.031910,-0.0391,-1.1208,1.4891,-0.3452,-0.0100,0.4358,-0.0391,-1.4291,0.8002,0.0350,-0.0099,-0.0607
1772536790328881537,right,0.090538,0.003059,-0.0376,-1.1799,1.5604,-0.0506,-0.0760,0.2739,-0.0380,-1.1700,1.5402,-0.0192,-0.0764,-0.2069
1772536790343508264,left,0.307555,0.031220,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4411,-0.0387,-1.4478,0.8166,0.0501,-0.0089,-0.0622
1772536790345170630,right,0.095264,0.004141,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2670,-0.0364,-1.1660,1.4797,-0.0570,-0.0774,-0.2149
1772536790346778375,left,0.312994,0.031938,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0393,-1.4318,0.7999,0.0328,-0.0111,-0.0634
1772536790348788737,right,0.094202,0.003070,-0.0376,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0427,-1.1689,1.5406,-0.0148,-0.0770,-0.2201
1772536790363349758,left,0.308555,0.031272,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0384,-1.4505,0.8163,0.0479,-0.0095,-0.0650
1772536790365395826,right,0.088883,0.001362,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0381,-1.1908,1.4588,-0.0566,-0.0778,-0.2262
1772536790367210352,left,0.313613,0.031974,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0393,-1.4346,0.7994,0.0305,-0.0113,-0.0663
1772536790369373139,right,0.097664,0.002992,-0.0376,-1.1784,1.5604,-0.0506,-0.0760,0.2723,-0.0379,-1.1820,1.5219,-0.0131,-0.0774,-0.2321
1772536790383979499,left,0.309224,0.031335,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0383,-1.4532,0.8158,0.0456,-0.0095,-0.0679
1772536790385589862,right,0.096601,0.004688,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2670,-0.0378,-1.1655,1.4690,-0.0505,-0.0800,-0.2387
1772536790387277684,left,0.314344,0.032028,-0.0391,-1.1208,1.4891,-0.3452,-0.0100,0.4358,-0.0392,-1.4376,0.7987,0.0282,-0.0101,-0.0696
1772536790389176897,right,0.091413,0.001237,-0.0391,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0390,-1.1824,1.5441,-0.0368,-0.0749,-0.2422
1772536790403760427,left,0.309847,0.031411,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0385,-1.4562,0.8151,0.0434,-0.0088,-0.0712
1772536790405328687,right,0.095049,0.001913,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0397,-1.1951,1.4692,-0.0693,-0.0774,-0.2447
1772536790406993791,left,0.314905,0.032024,-0.0391,-1.1193,1.4876,-0.3452,-0.0115,0.4358,-0.0394,-1.4391,0.7972,0.0251,-0.0111,-0.0726
1772536790408884164,right,0.099072,0.002753,-0.0391,-1.1784,1.5604,-0.0506,-0.0760,0.2739,-0.0405,-1.1797,1.5279,-0.0183,-0.0772,-0.2517
1772536790423601046,left,0.310616,0.031483,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0384,-1.4589,0.8147,0.0412,-0.0093,-0.0742
1772536790425347196,right,0.100243,0.002784,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0445,-1.1779,1.4713,-0.0570,-0.0792,-0.2624
1772536790426988709,left,0.315654,0.032132,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0392,-1.4427,0.7977,0.0239,-0.0113,-0.0756
1772536790428871305,right,0.106725,0.003180,-0.0391,-1.1784,1.5604,-0.0506,-0.0760,0.2723,-0.0412,-1.1905,1.5157,-0.0224,-0.0782,-0.2786
1772536790443323839,left,0.311314,0.031557,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0381,-1.4613,0.8142,0.0392,-0.0095,-0.0772
1772536790445180361,right,0.099743,0.002530,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0365,-1.1808,1.4615,-0.0478,-0.0767,-0.2853
1772536790446815354,left,0.315960,0.032108,-0.0391,-1.1208,1.4876,-0.3452,-0.0115,0.4358,-0.0392,-1.4446,0.7968,0.0213,-0.0113,-0.0787
1772536790448826814,right,0.099124,0.001674,-0.0391,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0389,-1.1954,1.5399,-0.0463,-0.0758,-0.2818
1772536790463473932,left,0.311988,0.031710,-0.0376,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0380,-1.4659,0.8135,0.0348,-0.0062,-0.0827
1772536790465224650,right,0.105001,0.002880,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0372,-1.1764,1.4775,-0.0594,-0.0778,-0.2871
1772536790466871789,left,0.317399,0.032289,-0.0391,-1.1208,1.4891,-0.3452,-0.0100,0.4358,-0.0394,-1.4496,0.7969,0.0179,-0.0094,-0.0838
1772536790468856814,right,0.101397,0.001453,-0.0391,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0364,-1.1885,1.5378,-0.0366,-0.0764,-0.2875
1772536790483460678,left,0.312700,0.031770,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0385,-1.4683,0.8137,0.0335,-0.0081,-0.0853
1772536790485011211,right,0.101907,0.001641,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2670,-0.0387,-1.1968,1.4648,-0.0671,-0.0753,-0.2899
1772536790486789642,left,0.317878,0.032352,-0.0391,-1.1208,1.4891,-0.3437,-0.0115,0.4358,-0.0396,-1.4522,0.7970,0.0166,-0.0109,-0.0866
1772536790488647240,right,0.101294,0.002315,-0.0376,-1.1784,1.5604,-0.0506,-0.0760,0.2723,-0.0373,-1.1998,1.5368,-0.0480,-0.0773,-0.2861
1772536790503344254,left,0.313802,0.031929,-0.0391,-1.1393,1.4868,-0.3122,-0.0069,0.4427,-0.0384,-1.4708,0.8136,0.0322,-0.0090,-0.0882
1772536790505100443,right,0.108888,0.002257,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0386,-1.1889,1.4800,-0.0808,-0.0791,-0.2972
1772536790506707734,left,0.318578,0.032415,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0393,-1.4537,0.7960,0.0143,-0.0112,-0.0897
1772536790508457112,right,0.096006,0.000259,-0.0376,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0371,-1.1821,1.5588,-0.0513,-0.0761,-0.2986
1772536790523222629,left,0.313857,0.031986,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4411,-0.0397,-1.4736,0.8126,0.0283,-0.0063,-0.0932
1772536790525035881,right,0.112542,0.003973,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2670,-0.0393,-1.1660,1.4906,-0.0615,-0.0777,-0.3057
1772536790526794050,left,0.320054,0.032521,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0404,-1.4571,0.7955,0.0111,-0.0088,-0.0945
1772536790528766617,right,0.107294,0.002539,-0.0376,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0377,-1.1732,1.5413,-0.0240,-0.0808,-0.3140
1772536790543603800,left,0.314696,0.032067,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0391,-1.4761,0.8127,0.0272,-0.0074,-0.0961
1772536790545217206,right,0.108317,0.002691,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0383,-1.1781,1.4715,-0.0540,-0.0761,-0.3187
1772536790546892939,left,0.319976,0.032503,-0.0391,-1.1208,1.4876,-0.3452,-0.0115,0.4358,-0.0399,-1.4587,0.7948,0.0092,-0.0107,-0.0974
1772536790584431658,left,0.315606,0.032151,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0385,-1.4778,0.8120,0.0254,-0.0087,-0.0991
1772536790586263468,right,0.108271,0.002719,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0384,-1.1779,1.4710,-0.0545,-0.0765,-0.3187
1772536790587738552,left,0.321031,0.032661,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0400,-1.4613,0.7947,0.0080,-0.0106,-0.1005
1772536790589601181,right,0.106250,0.001883,-0.0391,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0375,-1.1972,1.5370,-0.0458,-0.0776,-0.3163
1772536790603116442,left,0.316270,0.032245,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0385,-1.4799,0.8115,0.0240,-0.0086,-0.1021
1772536790604968336,right,0.113845,0.002305,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0383,-1.1901,1.4795,-0.0795,-0.0743,-0.3286
1772536790606550569,left,0.321230,0.032667,-0.0391,-1.1208,1.4876,-0.3452,-0.0100,0.4358,-0.0391,-1.4630,0.7935,0.0059,-0.0101,-0.1042
1772536790608262685,right,0.111790,0.003423,-0.0391,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0391,-1.1663,1.5424,-0.0179,-0.0767,-0.3333
1772536790623168140,left,0.317161,0.032352,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0381,-1.4823,0.8110,0.0225,-0.0084,-0.1058
1772536790624894889,right,0.117135,0.003544,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2670,-0.0428,-1.1704,1.4806,-0.0582,-0.0822,-0.3429
1772536790626497875,left,0.322523,0.032825,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0398,-1.4655,0.7935,0.0049,-0.0105,-0.1073
1772536790664463844,left,0.317801,0.032445,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0384,-1.4842,0.8104,0.0210,-0.0085,-0.1088
1772536790666469798,right,0.115898,0.003078,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2670,-0.0355,-1.1746,1.4806,-0.0583,-0.0755,-0.3439
1772536790667937224,left,0.323250,0.032904,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0400,-1.4675,0.7929,0.0035,-0.0105,-0.1103
1772536790707515769,left,0.318469,0.032540,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0385,-1.4861,0.8099,0.0196,-0.0085,-0.1119
1772536790709266339,right,0.115198,0.003077,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0381,-1.1745,1.4791,-0.0598,-0.0780,-0.3442
1772536790711080685,left,0.323439,0.032906,-0.0376,-1.1208,1.4876,-0.3452,-0.0115,0.4358,-0.0381,-1.4689,0.7919,0.0017,-0.0115,-0.1138
1772536790713065132,right,0.108707,0.001225,-0.0391,-1.1799,1.5604,-0.0506,-0.0760,0.2739,-0.0405,-1.1900,1.5433,-0.0464,-0.0728,-0.3423
1772536790724158933,left,0.319159,0.032664,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0396,-1.4885,0.8092,0.0172,-0.0066,-0.1169
1772536790725495106,right,0.115516,0.002971,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0390,-1.1755,1.4786,-0.0600,-0.0779,-0.3478
1772536790727281081,left,0.325156,0.033085,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0404,-1.4717,0.7919,-0.0001,-0.0091,-0.1183
1772536790729381003,right,0.116814,0.003173,-0.0391,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0417,-1.1699,1.5378,-0.0137,-0.0783,-0.3540
1772536790743368521,left,0.320359,0.032875,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0391,-1.4923,0.8076,0.0137,-0.0064,-0.1224
1772536790745021809,right,0.115616,0.002885,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0385,-1.1766,1.4716,-0.0554,-0.0786,-0.3599
1772536790746746158,left,0.326480,0.033281,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0405,-1.4762,0.7909,-0.0029,-0.0093,-0.1237
1772536790748576740,right,0.111493,0.001824,-0.0391,-1.1784,1.5604,-0.0506,-0.0760,0.2723,-0.0405,-1.1952,1.5419,-0.0490,-0.0754,-0.3576
